16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:43 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:44 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
16:26:45 [INFO] control.dwell_handler: DwellHandler reset.
